id,hp,attack,defence,special_attack,special_defence,speed,total
90,30,65,100,45,25,40,305
91,50,95,180,85,45,70,525
92,30,35,30,100,35,80,310
93,45,50,45,115,55,95,405
94,60,65,60,130,75,110,500
95,35,45,160,30,45,70,385
96,60,48,45,43,90,42,328
97,85,73,70,73,115,67,483
98,30,105,90,25,25,50,325
99,55,130,115,50,50,75,475
100,40,30,50,55,55,100,330
101,60,50,70,80,80,140,480
102,60,40,80,60,45,40,325
103,95,95,85,125,65,55,520
104,50,50,95,40,50,35,320
105,60,80,110,50,80,45,425
106,50,120,53,35,110,87,455
107,50,105,79,35,110,76,455
108,90,55,75,60,75,30,385
109,40,65,95,60,45,35,340
110,65,90,120,85,70,60,490
111,80,85,95,30,30,25,345
112,105,130,120,45,45,40,485
113,250,5,5,35,105,50,450
114,65,55,115,100,40,60,435
115,105,95,80,40,80,90,490
116,30,40,70,70,25,60,295
117,55,65,95,95,45,85,440
118,45,67,60,35,50,63,320
119,80,92,65,65,80,68,450
120,30,45,55,70,55,85,340
121,60,75,85,100,85,115,520
122,40,45,65,100,120,90,460
123,70,110,80,55,80,105,500
124,65,50,35,115,95,95,455
125,65,83,57,95,85,105,490
126,65,95,57,100,85,93,495
127,65,125,100,55,70,85,500
128,75,100,95,40,70,110,490
129,20,10,55,15,20,80,200
130,95,125,79,60,100,81,540
131,130,85,80,85,95,60,535
132,48,48,48,48,48,48,288
133,55,55,50,45,65,55,325
134,130,65,60,110,95,65,525
135,65,65,60,110,95,130,525
136,65,130,60,95,110,65,525
137,65,60,70,85,75,40,395
138,35,40,100,90,55,35,355
139,70,60,125,115,70,55,495
140,30,80,90,55,45,55,355
141,60,115,105,65,70,80,495
142,80,105,65,60,75,130,515
143,160,110,65,65,110,30,540
144,90,85,100,95,125,85,580
145,90,90,85,125,90,100,580
146,90,100,90,125,85,90,580
147,41,64,45,50,50,50,300
148,61,84,65,70,70,70,420
149,91,134,95,100,100,80,600
150,106,110,90,154,90,130,680
151,100,100,100,100,100,100,600
152,45,49,65,49,65,45,318
153,60,62,80,63,80,60,405
154,80,82,100,83,100,80,525
155,39,52,43,60,50,65,309
156,58,64,58,80,65,80,405
157,78,84,78,109,85,100,534
158,50,65,64,44,48,43,314
159,65,80,80,59,63,58,405
160,85,105,100,79,83,78,530
161,35,46,34,35,45,20,215
162,85,76,64,45,55,90,415
163,60,30,30,36,56,50,262
164,100,50,50,76,96,70,442
165,40,20,30,40,80,55,265
166,55,35,50,55,110,85,390
167,40,60,40,40,40,30,250
168,70,90,70,60,60,40,390
169,85,90,80,70,80,130,535
170,75,38,38,56,56,67,330
171,125,58,58,76,76,67,460
172,20,40,15,35,35,60,205
173,50,25,28,45,55,15,218
174,90,30,15,40,20,15,210
175,35,20,65,40,65,20,245
176,55,40,85,80,105,40,405
177,40,50,45,70,45,70,320
178,65,75,70,95,70,95,470
179,55,40,40,65,45,35,280
180,70,55,55,80,60,45,365
181,90,75,75,115,90,55,500
182,75,80,85,90,100,50,480
183,70,20,50,20,50,40,250
184,100,50,80,50,80,50,410
185,70,100,115,30,65,30,410
186,90,75,75,90,100,70,500
187,35,35,40,35,55,50,250
188,55,45,50,45,65,80,340
189,75,55,70,55,85,110,450
190,55,70,55,40,55,85,360
191,30,30,30,30,30,30,180
192,75,75,55,105,85,30,425
193,65,65,45,75,45,95,390
194,55,45,45,25,25,15,210
195,95,85,85,65,65,35,430
196,65,65,60,130,95,110,525
197,95,65,110,60,130,65,525
198,60,85,42,85,42,91,405
199,95,75,80,100,110,30,490
200,60,60,60,85,85,85,435
201,48,72,48,72,48,48,336
202,190,33,58,33,58,33,405
203,70,80,65,90,65,85,455
204,50,65,90,35,35,15,290
205,75,90,140,60,60,40,465
206,100,70,70,65,65,45,415
207,65,75,105,35,65,85,430
208,75,85,200,55,65,30,510
209,60,80,50,40,40,30,300
210,90,120,75,60,60,45,450
211,65,95,75,55,55,85,430
212,70,130,100,55,80,65,500
213,20,10,230,10,230,5,505
214,80,125,75,40,95,85,500
215,55,95,55,35,75,115,430
216,60,80,50,50,50,40,330
217,90,130,75,75,75,55,500
218,40,40,40,70,40,20,250
219,50,50,120,80,80,30,410
220,50,50,40,30,30,50,250
221,100,100,80,60,60,50,450
222,55,55,85,65,85,35,380
223,35,65,35,65,35,65,300
224,75,105,75,105,75,45,480
225,45,55,45,65,45,75,330
226,65,40,70,80,140,70,465
227,65,80,140,40,70,70,465
228,45,60,30,80,50,65,330
229,75,90,50,110,80,95,500
230,75,95,95,95,95,85,540
231,90,60,60,40,40,40,330
232,90,120,120,60,60,50,500
233,85,80,90,105,95,60,515
234,73,95,62,85,65,85,465
235,55,20,35,20,45,75,250
236,35,35,35,35,35,35,210
237,50,95,95,35,110,70,455
238,45,30,15,85,65,65,305
239,45,63,37,65,55,95,360
240,45,75,37,70,55,83,365
241,95,80,105,40,70,100,490
242,255,10,10,75,135,55,540
243,90,85,75,115,100,115,580
244,115,115,85,90,75,100,580
245,100,75,115,90,115,85,580
246,50,64,50,45,50,41,300
247,70,84,70,65,70,51,410
248,100,134,110,95,100,61,600
249,106,90,130,90,154,110,680
250,106,130,90,110,154,90,680
251,100,100,100,100,100,100,600
